Object,Percentage,Num objects,Total num objects,NNE,NNT,GCL,NNE VND,NNT VND,GCL VND
Violetgrass,0.1,20,200,137.97704432422807,26.714776642118867,68.74487516520337,79.30352951448614,26.714776642118867,68.74487516520337
Violetgrass,0.25,50,200,405.1135682934703,88.74195810761994,175.46740872992842,194.035460906371,88.74195810761992,174.93765357360462
Violetgrass,0.5,100,200,801.4078392090706,259.8439185151336,329.9535139099487,401.0481515683374,259.8439185151336,321.66280232014424
Violetgrass,0.75,150,200,1211.7489489160416,440.7521137912974,496.615290418846,561.7755651535633,435.70449709775585,479.93476534005725
Violetgrass,1.0,200,200,1521.3055086912989,693.8878949785648,698.6944173643749,728.3615462084603,686.7064277240995,686.7064277240993
Qingxin,0.1,14,143,61.26276474512644,19.53663105724556,31.767300732792073,42.6902216661434,19.53663105724556,31.767300732792076
Qingxin,0.25,35,143,243.09759179662512,71.11376848461299,115.63472235592275,144.10283432656513,71.11376848461298,114.87079033342255
Qingxin,0.5,71,143,717.596512471189,199.22458778460063,294.91266196679226,307.80580544398157,195.69672373960023,265.1159835905988
Qingxin,0.75,107,143,1086.6217467345982,376.8275632316561,416.5475096542972,471.6488726479502,373.2996991866556,412.5744299894849
Qingxin,1.0,143,143,1579.4171659318934,621.3836305402342,622.9868236096895,642.6499517941597,618.6300953327146,619.0137439448773
Naku Weed,0.1,12,121,52.73922987939869,13.828427124746192,21.320327917582855,26.74399662294627,13.828427124746192,21.320327917582855
Naku Weed,0.25,30,121,137.62993178726177,45.66562126173752,81.29732865900743,71.1283821962907,45.6656212617375,67.5601922820052
Naku Weed,0.5,60,121,412.2868475338474,115.15618059365798,142.51697639535126,144.70009354710325,114.97803500878466,130.0159079958489
Naku Weed,0.75,90,121,515.2914412600828,181.30408108413064,228.79814870266793,224.47417532023053,177.19043060150335,206.63454033556826
Naku Weed,1.0,121,121,655.1036706998003,308.90563201398595,316.92730361812426,310.7665923795202,300.7958671468068,303.0030868882353
Dandelion Seed,0.1,4,43,34.98384838948171,8.30056307974577,11.84161925296378,5.242640687119287,8.30056307974577,11.84161925296378
Dandelion Seed,0.25,10,43,127.85768764908458,25.925879193046843,28.03831746054603,37.2185009507552,25.925879193046843,28.03831746054603
Dandelion Seed,0.5,21,43,218.1153072248964,69.31666810085953,95.35704214021993,83.84507761171585,68.48571620601423,94.52609024537463
Dandelion Seed,0.75,32,43,395.2520271442489,152.3186127030914,151.33683865427193,142.5705738640486,145.19749841080295,150.50588675942663
Dandelion Seed,1.0,43,43,1051.9541358460617,214.33681402754866,214.33681402754866,209.66982912487046,213.50586213270336,213.50586213270336
Windwheel Aster,0.1,4,43,14.462185144412171,6.23606797749979,6.23606797749979,14.462185144412171,6.23606797749979,6.23606797749979
Windwheel Aster,0.25,10,43,30.882796298554066,19.53663105724556,18.536631057245557,27.06399943464891,19.53663105724556,18.536631057245557
Windwheel Aster,0.5,21,43,155.8081250565276,42.743996622946284,53.6577110480898,56.4473252062623,42.743996622946284,53.6577110480898
Windwheel Aster,0.75,32,43,194.81180014283044,72.45749847061045,85.54016684700726,89.38954042786004,72.45749847061045,85.54016684700726
Windwheel Aster,1.0,43,43,312.9310657800146,118.19165408665371,119.1675679746288,118.16250323229497,118.1916540866537,119.1675679746288
Silk Flower,0.1,1,16,0.0,3.0,4.0,0.0,3.0,4.0
Silk Flower,0.25,4,16,11.046317653406444,9.650281539872886,13.576491222541474,7.708203932499369,9.650281539872886,13.576491222541474
Silk Flower,0.5,8,16,104.50549400650482,20.580388135673633,22.758533720546936,17.594553449872038,20.580388135673633,22.758533720546936
Silk Flower,0.75,12,16,115.9129371238916,34.15687935821511,41.6844004513521,25.028531850082217,34.15687935821511,40.21226449635252
Silk Flower,1.0,16,16,292.5378078929475,44.638112792933285,49.33468199122498,41.393997875850665,44.63811279293328,48.5108482152666
Philanemo Mushroom,0.1,3,36,2.0,4.23606797749979,4.23606797749979,2.0,4.23606797749979,4.23606797749979
Philanemo Mushroom,0.25,9,36,15.23606797749979,12.886349517372675,13.39834563766817,12.47213595499958,12.886349517372675,13.39834563766817
Philanemo Mushroom,0.5,18,36,46.65028153987288,27.048627177541054,30.00389691313216,31.158551972625045,27.048627177541054,30.00389691313216
Philanemo Mushroom,0.75,27,36,70.1467673765869,41.48260557775123,53.26307642966717,50.281657598242695,41.48260557775123,53.26307642966717
Philanemo Mushroom,1.0,36,36,131.30237233755142,69.0364635951577,69.03646359515771,75.31796126549548,69.0364635951577,69.03646359515771
Wolfhook,0.1,2,26,1.0,5.0,11.764602927211007,1.0,5.0,11.764602927211007
Wolfhook,0.25,6,26,9.51323307596588,18.44766094595442,17.414884467083894,9.51323307596588,18.44766094595442,17.414884467083894
Wolfhook,0.5,13,26,16.927446638338978,29.9608940219203,25.414884467083894,16.927446638338978,29.9608940219203,25.414884467083894
Wolfhook,0.75,19,26,35.536894826935125,35.960894021920296,43.216354342184914,31.30992435130222,35.960894021920296,39.04929808225186
Wolfhook,1.0,26,26,336.20222247471975,64.9521643279777,66.65802393868825,55.77210949571442,64.74763448666921,62.4909676787552
Calla Lily,0.1,3,37,6.478708664619075,3.414213562373095,6.39834563766817,6.478708664619075,3.414213562373095,6.39834563766817
Calla Lily,0.25,9,37,93.35453286411638,16.12899020449196,34.204095021874224,33.06399943464891,16.12899020449196,34.204095021874224
Calla Lily,0.5,18,37,259.8085321963256,39.119694989406526,47.68280368649329,73.24325658754262,38.88362701190674,47.68280368649329
Calla Lily,0.75,27,37,350.6343615242721,76.13708821160135,80.32828529485771,101.47157070938962,75.90102023410157,80.09221731735792
Calla Lily,1.0,37,37,421.65234614085824,130.61458407386795,130.61458407386792,127.2880919612917,130.37851609636814,130.37851609636812
Valberry,0.1,1,19,0.0,3.1622776601683795,8.06225774829855,0.0,3.1622776601683795,8.06225774829855
Valberry,0.25,4,19,17.660936413601405,15.567196007456044,24.133325560164025,15.761058490646048,15.567196007456044,24.133325560164025
Valberry,0.5,9,19,45.93633633140853,39.7134193052366,53.838655960809234,39.059084315902744,39.7134193052366,53.838655960809234
Valberry,0.75,14,19,80.98712240028055,68.84674486540062,72.50487148185806,71.42265694809893,68.84674486540061,70.63166738372438
Valberry,1.0,19,19,120.59555573271527,110.51561017661474,110.98896905775436,104.77552696555585,110.51561017661473,109.11576495962068
